S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.7611189119685327,0,0.0,4.566713471811196
49982.0,8.0,9.0,1.0,0.0,0.7534393519760346,1,0.0,4.520636111856208
49975.0,11.0,13.0,1.0,4.0,0.7426571250684216,2,4.0,4.4559427504105305
49968.0,15.0,14.0,3.0,3.0,0.7289279430514432,3,3.0,4.37356765830866
49955.0,21.0,19.0,5.0,7.0,0.7124540575685642,4,7.0,4.274724345411386
49944.0,27.0,21.0,8.0,5.0,0.6934781501769308,5,5.0,4.160868901061585
49933.0,27.0,31.0,9.0,11.0,0.6722761110544232,6,11.0,4.033656666326539
49916.0,33.0,34.0,17.0,11.0,0.6491490456824792,7,11.0,3.8948942740948755
49899.0,36.0,43.0,22.0,14.0,0.6244148723313859,8,14.0,3.746489233988316
49876.0,48.0,45.0,31.0,11.0,0.5983998736248314,9,11.0,3.5903992417489885
49838.0,67.0,59.0,36.0,19.0,0.5714305442398457,10,19.0,3.4285832654390744
49805.0,69.0,80.0,46.0,31.0,0.543826036924331,11,31.0,3.262956221545986
49759.0,85.0,101.0,55.0,30.0,0.5158914547574406,12,30.0,3.0953487285446437
49707.0,110.0,112.0,71.0,27.0,0.4879121739631268,13,27.0,2.927473043778761
49644.0,130.0,135.0,91.0,43.0,0.4601493138676736,14,43.0,2.7608958832060417
49586.0,127.0,177.0,110.0,61.0,0.43283640375748206,15,61.0,2.5970184225448927
49519.0,140.0,214.0,127.0,54.0,0.4061772347620845,16,54.0,2.437063408572507
49426.0,179.0,235.0,160.0,54.0,0.3803448318183711,17,54.0,2.2820689909102265
49328.0,212.0,261.0,199.0,65.0,0.35548143851105246,18,65.0,2.132888631066315
49239.0,212.0,312.0,237.0,89.0,0.33169937724027115,19,89.0,1.990196263441627
49138.0,221.0,353.0,288.0,92.0,0.30908262880036946,20,92.0,1.854495772802217
49035.0,231.0,400.0,334.0,93.0,0.28768896824794954,21,93.0,1.7261338094876972
48908.0,263.0,427.0,402.0,95.0,0.26755249642223494,22,95.0,1.6053149785334098
48829.0,243.0,446.0,482.0,99.0,0.248686416772392,23,99.0,1.492118500634352
48724.0,255.0,465.0,556.0,93.0,0.2310859231776711,24,93.0,1.3865155390660266
