S,E,I,R,NI,B,time,obs,Rt
49990.0,0.0,10.0,0.0,0.0,0.35,0,0.0,2.1
49988.0,2.0,8.0,2.0,0.0,0.35,1,0.0,2.1
49987.0,2.0,6.0,5.0,1.0,0.35,2,1.0,2.1
49985.0,4.0,2.0,9.0,0.0,0.35,3,0.0,2.1
49984.0,3.0,4.0,9.0,2.0,0.35,4,2.0,2.1
49982.0,5.0,3.0,10.0,0.0,0.35,5,0.0,2.1
49982.0,4.0,3.0,11.0,1.0,0.35,6,1.0,2.1
49979.0,5.0,4.0,12.0,2.0,0.35,7,2.0,2.1
49978.0,4.0,5.0,13.0,2.0,0.35,8,2.0,2.1
49978.0,4.0,4.0,14.0,0.0,0.35,9,0.0,2.1
49975.0,5.0,5.0,15.0,2.0,0.35,10,2.0,2.1
49974.0,2.0,7.0,17.0,4.0,0.35,11,4.0,2.1
49972.0,3.0,8.0,17.0,1.0,0.35,12,1.0,2.1
49969.0,6.0,8.0,17.0,0.0,0.35,13,0.0,2.1
49967.0,5.0,9.0,19.0,3.0,0.35,14,3.0,2.1
49964.0,7.0,7.0,22.0,1.0,0.35,15,1.0,2.1
49963.0,4.0,11.0,22.0,4.0,0.35,16,4.0,2.1
49961.0,6.0,8.0,25.0,0.0,0.35,17,0.0,2.1
49956.0,8.0,10.0,26.0,3.0,0.35,18,3.0,2.1
49952.0,10.0,10.0,28.0,2.0,0.35,19,2.0,2.1
49951.0,6.0,13.0,30.0,5.0,0.35,20,5.0,2.1
49947.0,9.0,13.0,31.0,1.0,0.35,21,1.0,2.1
49944.0,8.0,16.0,32.0,4.0,0.35,22,4.0,2.1
49938.0,11.0,16.0,35.0,3.0,0.35,23,3.0,2.1
49934.0,7.0,22.0,37.0,8.0,0.35,24,8.0,2.1
49923.0,15.0,22.0,40.0,3.0,0.35,25,3.0,2.1
49915.0,15.0,25.0,45.0,8.0,0.35,26,8.0,2.1
49904.0,19.0,26.0,51.0,7.0,0.35,27,7.0,2.1
49896.0,21.0,30.0,53.0,6.0,0.35,28,6.0,2.1
49886.0,24.0,33.0,57.0,7.0,0.35,29,7.0,2.1
49874.0,26.0,38.0,62.0,10.0,0.35,30,10.0,2.1
49867.0,26.0,36.0,71.0,7.0,0.35,31,7.0,2.1
49849.0,32.0,40.0,79.0,12.0,0.35,32,12.0,2.1
49837.0,28.0,50.0,85.0,16.0,0.35,33,16.0,2.1
49820.0,31.0,56.0,93.0,14.0,0.35,34,14.0,2.1
49791.0,54.0,54.0,101.0,6.0,0.35,35,6.0,2.1
49774.0,49.0,68.0,109.0,22.0,0.35,36,22.0,2.1
49748.0,59.0,70.0,123.0,16.0,0.35,37,16.0,2.1
49726.0,55.0,85.0,134.0,26.0,0.35,38,26.0,2.1
49694.0,66.0,89.0,151.0,21.0,0.35,39,21.0,2.1
49667.0,69.0,101.0,163.0,24.0,0.35,40,24.0,2.1
49651.0,57.0,114.0,178.0,28.0,0.1,41,28.0,0.6000000000000001
49640.0,43.0,119.0,198.0,25.0,0.1,42,25.0,0.6000000000000001
49624.0,42.0,121.0,213.0,17.0,0.1,43,17.0,0.6000000000000001
49609.0,41.0,121.0,229.0,16.0,0.1,44,16.0,0.6000000000000001
49601.0,35.0,111.0,253.0,14.0,0.1,45,14.0,0.6000000000000001
49593.0,34.0,109.0,264.0,9.0,0.1,46,9.0,0.6000000000000001
49587.0,25.0,105.0,283.0,15.0,0.1,47,15.0,0.6000000000000001
49579.0,27.0,99.0,295.0,6.0,0.1,48,6.0,0.6000000000000001
49573.0,23.0,91.0,313.0,10.0,0.1,49,10.0,0.6000000000000001
49565.0,20.0,90.0,325.0,11.0,0.1,50,11.0,0.6000000000000001
49553.0,24.0,84.0,339.0,8.0,0.1,51,8.0,0.6000000000000001
49544.0,25.0,81.0,350.0,8.0,0.1,52,8.0,0.6000000000000001
49533.0,31.0,77.0,359.0,5.0,0.1,53,5.0,0.6000000000000001
49527.0,19.0,81.0,373.0,18.0,0.1,54,18.0,0.6000000000000001
49515.0,21.0,77.0,387.0,10.0,0.1,55,10.0,0.6000000000000001
