time,NI,Rt,obs
0,15.0,1.5,15.0
1,5.0,1.5,5.0
2,7.0,1.5,7.0
3,6.0,1.5,6.0
4,9.0,1.5,9.0
5,10.0,1.5,10.0
6,12.0,1.5,12.0
7,9.0,1.5,9.0
8,13.0,1.5,13.0
9,13.0,1.5,13.0
10,15.0,1.5,15.0
11,18.0,1.5,18.0
12,11.0,1.5,11.0
13,14.0,1.5,14.0
14,19.0,1.5,19.0
15,27.0,1.5,27.0
16,28.0,1.5,28.0
17,29.0,1.5,29.0
18,24.0,1.5,24.0
19,35.0,1.5,35.0
20,39.0,1.5,39.0
21,38.0,1.5,38.0
22,51.0,1.5,51.0
23,33.0,1.5,33.0
24,48.0,1.5,48.0
25,60.0,1.5,60.0
26,65.0,1.5,65.0
27,65.0,1.5,65.0
28,69.0,1.5,69.0
29,83.0,1.5,83.0
30,75.0,1.5,75.0
31,97.0,1.5,97.0
32,103.0,1.5,103.0
33,108.0,1.5,108.0
34,116.0,1.5,116.0
35,143.0,1.5,143.0
36,143.0,1.46,143.0
37,150.0,1.42,150.0
38,144.0,1.38,144.0
39,158.0,1.34,158.0
40,163.0,1.3,163.0
41,160.0,1.26,160.0
42,149.0,1.22,149.0
43,138.0,1.18,138.0
44,141.0,1.1400000000000001,141.0
45,148.0,1.1,148.0
46,135.0,1.06,135.0
47,137.0,1.02,137.0
48,137.0,0.98,137.0
49,135.0,0.94,135.0
50,126.0,0.9,126.0
51,107.0,0.9006000000000001,107.0
52,94.0,0.9012,94.0
53,117.0,0.9018,117.0
54,99.0,0.9024,99.0
55,105.0,0.903,105.0
56,79.0,0.9036000000000001,79.0
57,99.0,0.9042,99.0
58,104.0,0.9048,104.0
59,89.0,0.9054,89.0
60,72.0,0.906,72.0
61,68.0,0.9066000000000001,68.0
62,72.0,0.9072,72.0
63,60.0,0.9078,60.0
64,75.0,0.9084,75.0
65,74.0,0.909,74.0
66,66.0,0.9096000000000001,66.0
67,64.0,0.9102,64.0
68,66.0,0.9108,66.0
69,63.0,0.9114,63.0
70,60.0,0.912,60.0
71,61.0,0.9126000000000001,61.0
72,44.0,0.9132,44.0
73,37.0,0.9138000000000001,37.0
74,48.0,0.9144,48.0
75,49.0,0.915,49.0
76,44.0,0.9156000000000001,44.0
77,48.0,0.9162,48.0
78,41.0,0.9168000000000001,41.0
79,37.0,0.9174,37.0
80,32.0,0.918,32.0
81,26.0,0.9186000000000001,26.0
82,33.0,0.9192,33.0
83,19.0,0.9198000000000001,19.0
84,20.0,0.9204,20.0
85,14.0,0.921,14.0
86,25.0,0.9216000000000001,25.0
87,21.0,0.9222,21.0
88,19.0,0.9228000000000001,19.0
89,25.0,0.9234,25.0
90,19.0,0.924,19.0
91,18.0,0.9246000000000001,18.0
92,24.0,0.9252,24.0
93,15.0,0.9258000000000001,15.0
94,14.0,0.9264,14.0
95,12.0,0.927,12.0
96,11.0,0.9276000000000001,11.0
97,15.0,0.9282,15.0
98,12.0,0.9288000000000001,12.0
99,11.0,0.9294,11.0
100,8.0,0.93,8.0
